date_received,product,sub_product,issue,sub_issue,consumer_narrative,company_public_response,company,state,tags,submitted_via,company_response,timely_response,consumer_disputed,year,month,has_narrative,product_normalised
2012-03-06,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,JPMORGAN CHASE & CO.,GA,,Web,Closed without relief,1,0.0,2012,3,0,Mortgage
2020-08-10,Mortgage,FHA mortgage,Applying for a mortgage or refinancing an existing mortgage,,"I applied originally for refinance in XXXX and was told the credit requirements. Weeks later credit requirements changed and I was postponed and recommended I pay a couple of items off. After jumping through all the hoops to get my credit to where they needed it to be in XXXX, I was told I would have a closing disclosure by XX/XX/XXXX. I cant recall what delayed the closing that time, but in XXXX I completed a XXXX withdrawal to pay off a debt at their recommendation. They recorded it incorrectly so I had to ask a family member to borrow {$2500.00} mid XXXX so it would look like the XXXX money was in my savings because they incorrectly recorded it that way instead of being used to payoff debt. I was assured this would allow me to close, this time no later than mid XXXX. They decided to switch me from conventional to FHA a few times, and I wasnt really given a good reason other than this would be a better deal for me and I was told most recently we would definitely close in XXXX. Local office staff members XXXX and XXXX admitted these mistakes in late XXXX and have apologized, assuring me they would be in a position by XXXX to request my loan be rushed to close in XXXX and could be closed by XX/XX/XXXX if approved. They offered me the end of last week around {$2000.00} as pain and suffering ( their offer, their words, not mine ) per XXXX XXXX regional manager and but that the rush was denied and it would now be XXXX before we could close. I asked to speak with XXXX XXXX for an explanation of why we can not expedite the loan closing at this point. Today, XX/XX/XXXX, XXXX XXXX was very condescending and disrespectful blaming my credit for the delays on closing and again offering almost {$2000.00} to make it right as an olive branch but he called me rude and angry, neither of which are true. After almost an hour and him apologizing for his initial tone with me, I agreed to the terms of closing the loan in XXXX and accepting the money offered to make the mistakes right. When I asked for this in writing because in the past few months so many promises had been made only to be broken and have people deny they made them to begin with, he agreed then said instead he was going to transfer my mortgage and not providing the payment offered previously. I expressed a desire to keep our arrangements to avoid the need of starting over completely once again and he refused. I asked if I could speak with his superior or CEO he refused and hung up on me. I am now forced to start the entire process over from the start after waiting almost 6 months to refinance with them. I am a widowed woman with children, working in XXXXealthcare during a worldwide pandemic and this entire process has put undue financial burden and added stress on me. If they did not wish to work with me due to my unattractive credit which was what XXXX blamed for the delays, they should have admitted that and referred me to a lender who could and would help me.",,Fairway Independent Mortgage Corporation,MO,,Web,Closed with explanation,1,,2020,8,1,Mortgage
2025-09-26,Credit card,General-purpose credit card or charge card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NJ,,Web,Closed with explanation,1,,2025,9,0,Credit card
2025-10-30,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,"This loan was taken out with three different schools the XXXX XXXX XXXX in XXXX XXXX, California, Florida XXXX XXXX in XXXX, Florida and XXXX in XXXX XXXX XXXX, XXXX  XXXX : U.S. Department of Education Secondary : Aidvantage Tertiary : Treasury Offset Program Issue : * XX/XX/XXXX CALL * * : * * Operator # In XX/XX/XXXX the IRS For her XXXX tax refund, filed via XXXX XXXX Taxes , the IRS confirmed payment to XXXX XXXX but Plaintiff has not confirmed receipt as of XX/XX/XXXX. On XX/XX/XXXX, IRS Operator # XXXX advised an address update by XX/XX/XXXX, with follow-up by XX/XX/XXXX, if ] * * told me wait 120 days * * knew money was taken in XXXX * * Why wouldnt they just tell me that the money was used as an offset for my federal loans instead of not sending me a notification and advantage not posting it to my account I didnt find out that it was posted into my account so I asked for my tax transcripts or I still wouldnt know I was supposed to call back again There were two more calls made to the IRS XXXX operator number XXXX And Another operator number was XXXX. An operator XXXX Unsure the call date. 
Aidvantage ( XX/XX/XXXX ) : * * NO PAYMENT POSTED * *. 
I only found out via * * IRS transcript * *.

This is * * FRAUD * *, * * DECEPTION * *, and * * DUE PROCESS VIOLATION * * under : - * * 31 U.S.C. 3716 * * ( no notice ) - File date : * * XX/XX/XXXX * *",,"Maximus Federal Services, Inc.",WV,,Web,Closed with explanation,1,,2025,10,1,Student loan
2015-04-03,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,WELLS FARGO & COMPANY,FL,,Web,Closed with explanation,1,0.0,2015,4,0,Mortgage
2025-12-11,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,,"Paramount GR Holdings, LLC",NM,,Web,Closed with explanation,1,,2025,12,0,Debt collection
2024-07-29,Credit card,General-purpose credit card or charge card,Getting a credit card,Application denied,"I want to receive pre-approved offers for credit cards from Destiny XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX Mail XXXX XXXX email. Full XXXX XXXX XXXX, XXXX : XX/XX/year>, XXXX : XXXX",,"CLGF Holdco 1, LLC",MN,Servicemember,Web,Closed with explanation,1,,2024,7,1,Credit card
2025-01-17,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,"I am filing a complaint against cashapp. ( Block, inc. ) Due to inadequate customer service and unfair practices, which violates the consumer financial protection act. ( CFPA ). Specifically, cashapp failed to take timely action due to effective measures to prevent and address fraud on their platform, leaving my account vulnerable and unprotected. Furthermore, their dispute resolution process was unfair and deceptive, and they did not comply with error resolution requirements under the electronic fund transfer act ( EFTA ) in regulations E. These actions has caused significant inconvenience and financial loss, and I seek appropriate redress for these violations.",,"Block, Inc.",NE,,Web,Closed with explanation,1,,2025,1,1,Money transfer / service
2026-01-11,Credit card,General-purpose credit card or charge card,Incorrect information on your report,Information belongs to someone else,,,CAPITAL ONE FINANCIAL CORPORATION,AR,,Web,Closed with non-monetary relief,1,,2026,1,0,Credit card
2013-09-24,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,"Dynamic Recovery Solutions, LLC",FL,,Web,Closed with explanation,1,1.0,2013,9,0,Debt collection
2014-09-30,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Portfolio Recovery Associates, LLC",CA,,Web,Closed with non-monetary relief,1,0.0,2014,9,0,Debt collection
2018-05-02,Checking or savings account,Checking account,Managing an account,Problem accessing account,"I hold the durable power of attorney for my aunt who is medically unable to handle her finances and other items. Earlier last year we decided to move all of her banking from XXXX and XXXX XXXX to USAA Federal Savings Bank. This process was extremely difficult because even USAA didn't understand their own process for establishing a power of attorney on a new account. We were forced to deal with the same account lock out situation. After several weeks, the account was set up with the power of attorney and I was able to manage my aunt 's financial obligations. 

Today ( XX/XX/2018 ) when I tried to access her account, I received an error message indicating the account had been locked because contact information was incorrect. This seemed odd as I did not recently provide any contact information. I called the phone number that was provided to unlock the account and was told I would have to call back in several days. They refused to give me any reason for the account lock and hung up on me. 

I understand that sometimes security issues arise but that is no excuse for not notifying the member or their representatives ( as specified in the account details ) that were created when the account was opened that access may be limited during a security review. If USAA doesn't understand their own processes for POA 's on an account, perhaps they should review their policies and procedures and provide remedial training.",Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,AZ,Servicemember,Web,Closed with explanation,1,,2018,5,1,Bank account / service
2025-02-03,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Trouble accessing funds in your mobile or digital wallet,,"XXXX : Invoice was created and sent to customer to take care of payment XXXX : At XXXX payment was processed by customer using "" square '' with a ACH method. 
XXXX : At XXXX squared sent an email requesting MORE information pertaining to me and my business and requested me to upload a ton of personal documentation to support my company and business. 
XXXX : At XXXX I uploaded all required documentation pertaining to my business such EIN #, Driver License, LLC documentation, proof of communication between buyer and I, and much more into the "" Square portal '' XXXX : Received and email at XXXX from Square stating that "" my account was deactivated and that the decision was FINAL '' with no explanation or detail response as to why after I provided all the required documentation. It also stated my money/payment was going to be held with Square for min 90 days '' and offered an option to request a refund to my customer XXXX : I proceeded to call Square directly via phone and spoke to rep who told me she couldn't speak to me and couldn't find my account info and since I was "" deactivated '' she couldn't continue the phone conversation. When asked to speak to a manager she mentioned that its not possible and disconnected the call on me XXXX : Received an email from Square at XXXX stating that my "" invoice payment was paid for {$11000.00} '' from Square and on its way XXXX : Received another email from Square stating that my account now was "" limited not fully deactivated as stated prior '' and that a review of things was happening and continuing XXXX : Received yet another email from Square stating and I quote "" Thanks again for verifying your identity Hi XXXX XXXX XXXX Were happy to let you know that we finished our review and everything looks good. Your account is now fully restored with regular access. 

We know interruptions like this can be frustratingthanks for helping us keep you and your customers safe. 

Youre all set to get back to business. '' End of quote. Naturally this tells me that my account after their internal review stated that my account was good to go and funds should be no issue to be processed and received to me and no longer held by Square themselves. 
XXXX : Square online portal stating that my funds would be transferred on XX/XX/year> which didn't happen or take place. I figured since its a weekend I'll give it until Monday the XXXX and hopefully all will be good and processed. Monday XXXX came and nothing was completed nor was funds deposited into my account as ought to based on my account setup. 
XXXX : Called square yet again on the phone and demanded that i speak to a higher person and they refused to transfer and escalate to a manager to get more answers as to what happened here and status of my funds. Called ended with no resolution XXXX : Called Square yet again as I've gotten no where with this company and their customer service since the communications via email. Finally had someone who gave vague information and told me "" my account is deactivated '' reason why I'm not going to receive my money owe to me BUT yet I received email communication from Square that their review was completed and my account in FACT was in good standing and activated. The rep seemed to be stumped and couldn't answer why I received that communication but she is seeing something different. She had no answers and the call again ended with no resolution. 
XXXX : Called Square back yet another time hoping and praying I get someone willing to assist me professionally and promptly. I got this rep on the phone who stated "" I can assist you with at least processing a REFUND to the customer through the online portal '' as per their policy if one is "" deactivated '' you have 120 days to process a full refund to customer in order for them to pay you a different method other than Square. Well, we were on the phone for 45min trying to process this refund and their system internally would not process this procedure and was giving me errors after errors even with them being on the phone with me to do it. They mentioned that Square would "" escalate '' and give me an email back with resolution with 1-2 days. 
XXXX : 2 days went by and I received absolutely nothing back from Square pertaining to "" ticket # XXXX spoke to XXXX ''. I then proceeded to call back AGAIN to Square on XX/XX/year> asking why hasn't this been resolved and why are they still holding my money XXXX and not allowing me to at min refund my customer so he can pay a different method other than the scammers of Square. The rep mentioned that she saw nothing on her end of the escalation being addressed and gave me a new "" ticket # XXXX name XXXX  ''. At this point Square is giving the run around, mis guided communication, not resolving their internal issues with their systems, and no refund or money has been processed on my behalf. 

I have been impacted financially as this is how I take care of my family and livelihood and have exhausted all efforts to get this resolved. I need immediate resolution as there are tons of complaints and similar people who have been scammed by Square on forums and online. I've provided you in-depth details with time and dates as I've documented phone calls and saved all email communications. Please assist me as this is crushing to a small business owner like myself.",,"Block, Inc.",DE,,Web,Closed with explanation,1,,2025,2,1,Money transfer / service
2018-01-03,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,MN,,Phone,Closed with explanation,1,,2018,1,0,Bank account / service
2016-07-13,Debt collection,Credit card,Improper contact or sharing of info,Contacted me after I asked not to,"Every week for the past 3 weeks, Capital One has called me on my mobile phone asking to speak to my ex-boyfriend ( who I am no longer in contact with ) regarding a "" business matter ''. The first time they called ( XXXX/XXXX/16 ), I explained that I did n't know how to contact him and I asked them to remove my number from their list. They said they got my mobile number from an online database, and they would remove me. The second week ( XXXX/XXXX/16 XXXX, I talked to a different rep from Capital One named XXXX. Again, I told them to remove me from their list and asked why I had n't been removed yet. She said she was a new person assigned to his case and did n't know I had asked to be removed. I told them it was illegal for them to call me more than once after I asked them to stop calling me. They assured me I would be removed from their list and they would n't call again. Today, XXXX, I received yet another call from Capital One looking for my ex-boyfriend, this time from XXXX. I explained that this was the third time I was being contacted, and that it was illegal for them to continue to contact me. The rep said she was just assigned to his case and did n't see any notes about me asking to be removed from the list. I asked to speak to her manager. I spoke to XXXX and explained the situation. She also did not see any notes about me asking to be removed from their database. I told her they were in violation of the Debt Collection Practices Act and that I would be reporting Capital one to the Consumer Financial Protection Bureau. She said she would remove me from the list. I got a direct phone number to the supervisor 's line to use if I received any more calls.",,CAPITAL ONE FINANCIAL CORPORATION,OR,,Web,Closed with non-monetary relief,1,0.0,2016,7,1,Debt collection
2025-01-17,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,,,"Block, Inc.",NC,,Web,Closed with explanation,1,,2025,1,0,Money transfer / service
2024-03-07,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,,,"Bread Financial Holdings, Inc.",FL,,Web,Closed with explanation,1,,2024,3,0,Debt collection
2024-02-29,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,,,"Kriya Capital, LLC",NJ,,Web,Closed with non-monetary relief,1,,2024,2,0,Debt collection
2020-08-23,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,"Filed dispute with pro collect inc. on XXXX.requested verification under the FDCPA.the following verification requested were as follows : 1.proof that I either owned or were assigned this debt from the creditors. 
2.proof that you have the right to collect this debt in my state. 
3.proof that your company carries a bond. 
4.proof on how your company assessed the outstanding debt. 
5.payment history from the original creditor. 
6.name and address from the original creditor. 
7.copy of the contract bearing my authentic signature. 
35 days has past and I have not received any correspondence.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"ProCollect, Inc.",TX,,Web,Closed with explanation,1,,2020,8,1,Debt collection
2025-10-07,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,,,Chime Financial Inc,NY,,Web,Closed with explanation,1,,2025,10,0,Money transfer / service
2020-09-02,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,"2 weeks after I was laid off from a disgruntled employer on XX/XX/20, she called Bank of America & made a false fraud claim stating all reimbursement, tip & side job checks were stolen which then froze my account on XX/XX/20. 
After multiple calls lasting 2+ hours I finally got someone on the phone that informed me the situation & gave me a claim # & fax # to send my supporting documents which I did, however without any due diligence the claim was closed in the others favor when I called to inquire again on the phone for 2+ hours was told by even the fraud department supervisor that something was off because it was closed without anybody even going through the 150+ page fax so I was told I should open a new claim which I did, then once again I had faxed in supporting documents this time 175+ pages once again claim closed without anybody going through & even looking at fax sent for the second time so I contact the FDIC which forwarded my claim to this branch. 
I was informed my accounts were closed XX/XX/20 by not only tellers & bankers at the branch but over the phone as well. 
On XX/XX/20 a previous claim closed in my favor totaling {$410.00} & change was deposited into my "" closed '' accounts along with my tax return of {$2700.00} that the bank excepted after my account was supposedly closed When I went in the branch to inquire nobody could give me an answer except they have 11 days after account close to accept deposits but the time frame was past Once the bank was contacted in regards to my claim a lady by the name of XXXX XXXX to confirm I made the claim & she instructed me to file yet another claim which i did on XX/XX/20 & spoke with a lady that was just as baffled as I was & notated my file a bunch then once again got the run around then when I called in last week XX/XX/20 I was fortunate to get the same lady I had spoke with in the beginning of the month whom informed me my account was closed without anybody even looking at any fax or notations pertaining to the claim that was fraudulently made out of retaliation. 
In the fine print from bank of America it states anybody that has any problems or questions regarding your account/ bank statements you have 30 days & in some cases 60 days yet bank of America went back 4 months Regardless the fact they initiated a claim past the  allotted stated time frame nobody did any kind of due diligence and compared other employees checks with the ones in question even to payroll but never happened. 
So in the last 4 months my accounts were wrongly frozen over {$10000.00} taken out & awarded to the disgruntled employer nobody actually doing their job & investigating Then my account was i guess oxidant closed as of XX/XX/20 & was told no matter how many claims I open they weren't going to reopen/ relinquish about it because they already made a decision ( without even looking at evidence in the first place ) I want my money back that the bank stole from me",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,,Web,Closed with monetary relief,1,,2020,9,1,Bank account / service
2022-03-03,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,,,,JPMORGAN CHASE & CO.,TX,,Web,Closed with explanation,1,,2022,3,0,Money transfer / service
2022-05-31,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,,"My account was frozen, all my XXXX XXXX asset was taken from my account by Kraken after I made a deposit with the amount, Im losing money because Im not able to sell my UST for market price. Customer service not replying to emails, agents who answer phone calls have no clue. An extremely serious disaster.",,Payward Ventures Inc. dba Kraken,FL,,Web,Closed with explanation,1,,2022,5,1,Money transfer / service
2019-01-08,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,,JPMORGAN CHASE & CO.,,,Phone,Closed with explanation,1,,2019,1,0,Bank account / service
2017-09-28,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,,Ocwen Financial Corporation,NV,,Web,Closed with explanation,1,,2017,9,0,Debt collection
2025-03-19,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,"CCS Financial Services, Inc.",FL,,Web,Closed with explanation,0,,2025,3,0,Debt collection
2025-08-29,Debt collection,I do not know,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"I understand the importance of removing any incorrect information from my credit report according to FCRA 605B. Could you please review the attached documents? I've observed discrepancies in several accounts, which is quite concerning to me.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,,Web,Closed with explanation,1,,2025,8,1,Debt collection
2025-01-25,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,,,"Block, Inc.",SC,,Web,Closed with explanation,1,,2025,1,0,Money transfer / service
2023-03-22,Credit card or prepaid card,General-purpose credit card or charge card,Getting a credit card,Card opened as result of identity theft or fraud,"On XX/XX/2023, someone opened a credit card account with Bank of America in my name fraudulently. 

I have never received the card, but have begun to receive correspondence from Bank of America referring to the account. 
I have checked my credit reports from XXXX, XXXX and XXXX, and they all 3 have the account on my report. 
The account should have never been opened.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",OH,Servicemember,Web,Closed with explanation,1,,2023,3,1,Credit card
2017-10-14,Mortgage,FHA mortgage,Closing on a mortgage,,Bought a home with gateway mortgage company. The home needed few repairs .Was given a XXXX loan and {$31000.00} towards repair .Gateway give the contractor to us even when we refused the contractor they insist we have to have repair done by recommended contractor. Contractor got money no repair done up to now ripped home apart has not comeback and got money from gateway has not get the job done.we have no place to cook for our kids and we already paid one month mortgage and still no contractor.,,GATEWAY FIRST BANK,NJ,,Web,Closed with explanation,1,,2017,10,1,Mortgage
2016-03-14,Credit card,,Delinquent account,,This account with hsbc still double report on my credit reports XXXX Is over 8 years that I made my last payment and they still reporting it. If they ca n't send me a debt validation then take this off my credit reports. And they have XXXX as their collection agency and they are reporting it too. It was paid in full to XXXX.,,HSBC NORTH AMERICA HOLDINGS INC.,CA,,Web,Closed with explanation,1,0.0,2016,3,1,Credit card
2014-05-20,Bank account or service,Savings account,Deposits and withdrawals,,,,WELLS FARGO & COMPANY,CA,,Referral,Closed with explanation,1,0.0,2014,5,0,Bank account / service
2025-10-17,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",PA,,Web,Closed with explanation,1,,2025,10,0,Debt collection
2017-10-11,Checking or savings account,Checking account,Problem caused by your funds being low,Overdrafts and overdraft fees,"On XX/XX/XXXX I had a bal in my checking account of {$120.00}. On XX/XX/XXXX l checked account again and it showed negative {$400.00}. The pending transactions were a {$75.00} and {$450.00} auto payments. The {$75.00} payment was pending 1st and {$450.00} payment 2nd. I made arrangements to transfer {$400.00} into my account to cover amount short.. This morning XX/XX/XXXX checked bal and it showed {$400.00} deposit pending because it arrived after midnight, but they reversed the order of the 2 automatics and charged me two {$34.00} overdraft fees. When I called Chase bank to correct problem and at least refund the od fee for the {$75.00} payment, they refused stating it was there policy to pay the higher amt check first, advised her that the policy did no benefit me in any way, but allowed them to charge and extra od fee on my account. When I advised her that I had a screen shot showing the {$75.00} pmt pending 1st and the funds were there to cover it, she said did not matter because it was there policy to post larger amt Please help. Thanks XXXX XXXX XXXX",,JPMORGAN CHASE & CO.,OH,Servicemember,Web,Closed with monetary relief,1,,2017,10,1,Bank account / service
2025-03-03,"Money transfer, virtual currency, or money service",Mobile or digital wallet,"Managing, opening, or closing your mobile wallet account",,,,"Block, Inc.",WI,,Web,Closed with explanation,1,,2025,3,0,Money transfer / service
2025-02-04,Debt collection,Rental debt,Attempts to collect debt not owed,Debt is not yours,,,T.S. Holdings,CA,,Web,Closed with explanation,1,,2025,2,0,Debt collection
2025-01-17,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,"I am filing a complaint against Cash App ( Block , Inc . ) due to inadequate customer service and unfair practice, which violate the customer financial Protection Act ( CFPA ). Specifically, Cash App failed to take timely and effective measures to prevent and address fraud on their platform, leaving my account vulnerable and unprotected.

Furthermore, their dispute resolution process was unfair and deceptive, as they did not comply with error resolution requirements under the Electronic Fund Transfer Act ( EFTA ) and Regulation E. These actions have caused significant inconvenience and financial loss, and I seek appropriate redress for these violations.",,"Block, Inc.",GA,,Web,Closed with explanation,1,,2025,1,1,Money transfer / service
2021-09-03,Credit card or prepaid card,Store credit card,Problem when making payments,Problem during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",PA,,Web,Closed with explanation,1,,2021,9,0,Credit card
2014-03-25,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,WELLS FARGO & COMPANY,TX,Servicemember,Web,Closed with explanation,1,0.0,2014,3,0,Mortgage
2025-01-16,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,"I am writing to formally express my concerns regarding Zelle 's handling of disputes, particularly in light of the recent CFPB lawsuit highlighting significant issues with the platform. Despite using Zelle numerous times and reporting discrepancies, my financial institution and Zelle failed to investigate my claims adequately. They informed me that recovering lost funds was impossible and that tracking these transactions was unfeasible. The CFPB 's findings indicate that Zelle has not only neglected to protect consumers but has also allowed repeat offenders to exploit the system, leaving users vulnerable to scams. 
This lack of accountability and transparency is unacceptable and raises serious concerns about consumer safety.",,"Early Warning Services, LLC",TX,,Web,Closed with explanation,1,,2025,1,1,Money transfer / service
2025-05-12,Mortgage,Conventional home mortgage,Closing on a mortgage,Closing disclosure or other related disclosures,,,"HILLTOP HOLDINGS, INC",KS,,Web,Closed with explanation,1,,2025,5,0,Mortgage
2021-02-22,"Money transfer, virtual currency, or money service",Mobile or digital wallet,"Managing, opening, or closing your mobile wallet account",,,,"Paypal Holdings, Inc",IL,,Web,Closed with explanation,1,,2021,2,0,Money transfer / service
2024-09-17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,"I am a recipient of the XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX. Through this program, the XXXX makes quarterly payments towards my loans on my behalf. The XXXX payments are much larger than my monthly bill ( XXXX times larger ), so each quarterly payment puts me in paid ahead status for approximately XXXX to XXXX  months, which allows me to not make payments in the months between quarterly XXXX payments. I have been on this program for several years and had no issues when my loans were previously with XXXX. As of this spring, my loans were transferred to XXXX and they have misapplied these XXXX payments, made false claims, and then lost the payment. 

I received my welcome letter from XXXX on XX/XX/year> and notification of my recertification of my income driven repayment plan on XX/XX/year>. My beginning balance was {$54000.00} and my first monthly payment was due on XX/XX/year> in the amount of {$1200.00}. On XX/XX/year> the XXXX made a payment on my behalf in the amount of {$10000.00}. The payment was received by XXXX on XX/XX/year> and I provided documentation to the XXXX that the payment had reached my account on XX/XX/year>. At this time, my loan balance was {$44000.00}. The only issue was that the payment did not put me in paid-ahead status so my account stated that I had another payment due on XX/XX/year>. 

I reached out on XX/XX/year> to have the payment applied correctly so it would put me in paid ahead status. The XXXX representative told me that they did not have a record of how the payment was made but assured me that they had received it and my account had been credited. The representative put in a request to have the payment reapplied and told me Id hear back in XXXX  days. When I had not heard back and I had not been placed in paid ahead status I reached out again on XX/XX/year>. They XXXX representative stated that they could not provide a reason for why the payment hadnt been reapplied but said to reach back out in XXXX  days and that theyd have an answer. When my account still had not been updated I reached out again on XX/XX/year>. This time the representative stated that I cant be in paid ahead status when XXXX on an income driven repayment plan, which is incorrect. I had been in paid ahead status with an income driven repayment plan the entire time my loans were with XXXX. 

As Ive been trying to sort this out, I did not make an XXXX payment ( due XX/XX/year> ) because the payment was not expected, my wife and I are paying for XXXX  out of pocket, and we are unable to afford the payment at this time. Also, while this was going on, I had also reached out to the XXXX XXXX Ombudsman for support, opening a case on XX/XX/year> and providing updates throughout the process. After my contact with XXXX on XX/XX/year> and no response or assistance from the XXXX XXXX Ombudsman, I reached out to my congressional representative to have them advocate on my behalf. Soon after ( XX/XX/year> ), I received my first response about the case I had opened with the Ombudsman. The email came from XXXX customer service department rather than the Ombudsmans office. The email stated that my paid-ahead status was revoked when my income driven repayment plan was recertified. However, this is also a mistake or incorrect since my most recent payment was received on XX/XX/year>, after my recertification on XX/XX/year>. 

Today ( XX/XX/year> ), I received a call from XXXX stating that the payment made by the XXXX on XX/XX/year> had been reversed and that my account is now overdue in the amount of the original payment. However, my account summary on the XXXX website shows the balance after the payment was made on XX/XX/year> ( {$44000.00} ) and it shows my amount due as {$2400.00}, which would be correct since I didnt make the XXXX payment and have a XXXX payment due. The representative refused to believe that my online account displayed different information than her own and was adamant that I had reversed the payment. Additionally, every other contact Ive had with XXXX, they have recognized that the payment had been made. When I asked them if there is anyone else I can talk to explain my case, they put me on hold for XXXX minutes and then stated that no one was available. I did not request that the payment be reversed by the XXXX and they did not initiate the process. 

I am confident that XXXX lost track of my payment when they were trying to reapply it to my loan and are now claiming that I am at fault. I have documentation to support everything Ive stated.",,EdFinancial Services,PA,,Web,Closed with explanation,1,,2024,9,1,Student loan
2024-02-21,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,"Portfolio Recovery Associates, LLC",NJ,,Web,Closed with explanation,1,,2024,2,0,Debt collection
2025-09-02,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt is not yours,"Please provide documentation that the following account belongs on my credit report and that my rights have not been violated. In compliance to 15 U.S. Code 1692e ( 6 ) Debt collectors are legally obligated to adhere to 15 U.S. Code 1692e ( 6 ), which forbids them from providing false information or insinuating inaccuracies about the nature, amount, or legal standing of a debt. It is against the law to make deceptive statements or misrepresentations concerning the debt being pursued for collection.",,"CAINE & WEINER COMPANY, INC.",UT,,Web,Closed with explanation,1,,2025,9,1,Debt collection
2025-05-23,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,,,"Fein, Such, Kahn & Shepard, P.C.",NJ,,Web,Closed with explanation,1,,2025,5,0,Debt collection
2025-10-15,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,,JPMORGAN CHASE & CO.,NY,,Phone,Closed with explanation,1,,2025,10,0,Bank account / service
2026-02-14,Credit card,General-purpose credit card or charge card,Fees or interest,Problem with fees,,,CAPITAL ONE FINANCIAL CORPORATION,MO,Older American,Web,In progress,1,,2026,2,0,Credit card
2023-08-15,Credit card or prepaid card,Store credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,,"Affirm Holdings, Inc",SC,,Web,Closed with explanation,1,,2023,8,0,Credit card
2023-10-03,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,"A new collections account was added to my credit report. upon checking I quickly realized the debt was not my debt and was the result of identity theft. I called the debt collection agency ( ERC ) who told me the original debt was from an XXXX account which was opened in XXXX Arizona under my social security number and the name "" XXXX XXXX ''. My name is not XXXX XXXX, and I have never been to or lived in XXXX Arizona and I have never had an XXXX account. whoever did this stole my social security number and I want this resolved as quickly as possible.",,ERC,CA,,Web,Closed with explanation,1,,2023,10,1,Debt collection
